along-track_distance(m) Height(m) Height_ph_sub(m)
27.37486,557.7184,-1.475995
27.37953,559.2793,0.08588689
27.37661,558.3154,-0.8766023
28.09161,559.0252,-0.1906787
28.09206,559.174,-0.04072946
28.088,557.833,-1.380324
28.09424,559.8926,0.6803328
28.09189,559.1172,-0.09382467
28.80253,558.3962,-0.8318144
28.79968,557.4348,-1.791967
28.80485,559.1586,-0.06708644
28.804,558.8813,-0.3430719
28.79971,557.4465,-1.776648
28.80196,558.2061,-1.015764
29.51784,559.2368,0.002752541
29.51775,559.2051,-0.02770098
29.51987,559.9065,0.6748078
29.51543,558.4415,-0.7887976
29.51469,558.1974,-1.031694
29.51743,559.101,-0.1268732
29.51746,559.1118,-0.1149113
29.51762,559.165,-0.06047302
29.51374,557.883,-1.341112
30.2312,559.4935,0.2480727
30.22499,557.4276,-1.816368
30.22575,557.6764,-1.566392
30.23013,559.1393,-0.1024184
30.23081,559.3642,0.1236954
30.23055,559.2779,0.03862059
30.22982,559.0397,-0.1983562
30.94333,559.2795,0.01883374
30.94586,560.1345,0.8748855
30.94344,559.3174,0.05911294
30.94493,559.8094,0.5523471
30.94094,558.4924,-0.7633096
30.9415,558.6786,-0.5758293
30.9435,559.337,0.08364701
30.94353,559.3481,0.09603596
31.65557,559.1119,-0.1633971
31.65779,559.8422,0.5679765
31.65597,559.2439,-0.02901061
31.65635,559.3691,0.09744194
31.65695,559.5672,0.2967633
31.65569,559.1498,-0.1193944
31.65574,559.1662,-0.1017569
31.65552,559.0956,-0.1711469
31.65648,559.4131,0.1475475
32.36858,559.2213,-0.06607965
32.36878,559.2866,0.0004422595
32.36668,558.5939,-0.690896
32.36978,559.6167,0.3329904
32.36717,558.7548,-0.5276427
32.36931,559.4606,0.1793803
32.3678,558.9637,-0.3161764
33.08004,558.8049,-0.5168754
33.0807,559.0233,-0.2973152
33.08099,559.1192,-0.2001667
33.08187,559.4096,0.09140047
33.79484,559.5013,0.1518739
33.79215,558.6125,-0.7355968
33.7964,560.0153,0.6682684
33.7943,559.3234,-0.02231211
33.79753,560.4081,1.063515
34.50721,559.3968,0.04223912
34.50686,559.2798,-0.07346159
34.5055,558.835,-0.5169816
34.50774,559.5718,0.2209172
34.50865,559.8713,0.5215812
34.50528,558.7602,-0.5881345
35.21949,559.2562,-0.1351068
35.21928,559.1883,-0.2017445
35.21786,558.719,-0.669735
35.2209,559.7206,0.3329456
35.93354,559.7235,0.2886018
35.93136,559.0052,-0.4282218
35.93299,559.5408,0.1084658
35.93259,559.4092,-0.02193768
36.64709,560.0675,0.6001225
36.64476,559.2795,-0.1866728
36.64838,560.4927,1.027763
36.64311,558.738,-0.725772
37.35736,559.2844,-0.1621583
37.35799,559.491,0.0456804
37.35886,559.7795,0.3354338
37.358,559.4947,0.05178417
38.06872,558.8839,-0.6117259
38.07082,559.575,0.08050773
38.78421,559.853,0.3104728
38.78601,560.4667,0.925424
38.78133,558.9041,-0.6359371
39.49671,559.8443,0.2900535
39.49582,559.5507,-0.002285656
